theorem_id,N,gamma,steps,mean_residue,final_fragmentation,final_agreement,admissibility_surface_shift,basin_area_delta
T002,1536,0.1,250,21.328286028061942,0.039668786819143806,0.9702484098856422,1805.3086713654563,451.3271678413641
T002,1536,0.25,10,0.6892037610254576,0.28569221217306306,0.7857308408702027,324.1455086317842,81.03637715794605
T002,1536,0.25,50,3.8998208430183277,0.12893136472901273,0.9033014764532405,1275.475459886296,318.868864971574
T002,1536,0.25,100,8.522074805787636,0.0364168935911974,0.972687329806602,1804.747430379447,451.18685759486175
T002,1536,0.25,250,23.334922860031675,0.005100459200874911,0.9961746555993438,2042.0052249121622,510.50130622804056
T002,2048,0.01,10,0.7510674689904197,0.24702236852678677,0.8147332236049099,15.324242029607603,3.831060507401901
T002,2048,0.01,50,3.773439565966674,0.24314013793987127,0.8176448965450966,75.8401523969751,18.960038099243775
T002,2048,0.01,100,7.590648502138543,0.23072279329228557,0.8269579050307859,149.70289805358652,37.42572451339663
T002,2048,0.01,250,19.310012616309006,0.20711603843805731,0.844662971171457,359.62997543898905,89.90749385974726
T002,2048,0.05,10,0.7542125055558777,0.23880079692409664,0.8208994023069273,75.79327284711326,18.948318211778314
T002,2048,0.05,50,3.860076548718233,0.20157236720278765,0.8488207245979092,359.4673797258631,89.86684493146578
T002,2048,0.05,100,7.926662991117426,0.17039709987062973,0.8722021750970276,670.1413961739597,167.53534904348993
T002,2048,0.05,250,21.058908345915434,0.08703489192673482,0.934723831054949,1333.435283737068,333.358820934267
T002,2048,0.1,10,0.757469703731797,0.23615984516296176,0.8228801161277788,149.40006770688365,37.35001692672091
T002,2048,0.1,50,3.9586966482769115,0.17352473837427265,0.8698564462192955,669.5026317361485,167.37565793403712
T002,2048,0.1,100,8.274726855110448,0.10938727200655315,0.9179595459950852,1152.7112422041355,288.1778105510339
T002,2048,0.1,250,22.379286883318986,0.0290011676989546,0.978249124225784,1829.5209130998471,457.3802282749618
T002,2048,0.25,10,0.7696726610964162,0.21113482497574237,0.8416488812681935,358.47818042116364,89.61954510529091
T002,2048,0.25,50,4.2039813327053785,0.08983086020134025,0.9326268548489948,1332.0404628645863,333.0101157161466
T002,2048,0.25,100,8.94360300608277,0.02739502874771559,0.9794537284392131,1829.077401762556,457.269350440639
